k,gamma
1905,-0.18938114069270015
1906,-0.1892133971545202
1907,-0.18821842390455187
1908,-0.18925083046649613
1909,-0.1886781719682095
1910,-0.1875844704990333
1911,-0.18680003547884882
1912,-0.18588367439813286
1913,-0.18482614496930116
1914,-0.1837422829890736
1915,-0.18337849212147145
1916,-0.18413111605946958
1917,-0.18422828970104363
1918,-0.1830509031476109
1919,-0.18293352562741014
1920,-0.18216423233196832
1921,-0.18555232485965645
1922,-0.18615460013547122
1923,-0.186468273317081
1924,-0.18581136769352272
1925,-0.18524874150681123
1926,-0.18420462739884516
1927,-0.18581249325717386
1928,-0.18490308652470888
1929,-0.18480075312874134
1930,-0.183880862774151
1931,-0.19102959809699666
1932,-0.1898299750857344
1933,-0.1908330831897582
1934,-0.19088008765888406
1935,-0.19106846744520276
1936,-0.19052478379123092
1937,-0.18962313439636977
1938,-0.18911181546967995
1939,-0.18979985939552244
1940,-0.1894383933187968
1941,-0.19034022559831762
1942,-0.19390149976880244
1943,-0.1936115016066757
1944,-0.1967835233668718
1945,-0.19566538542079528
1946,-0.19569308007585887
1947,-0.19540977458550499
1948,-0.19498339906867998
1949,-0.1942492514266406
1950,-0.19328336966415444
1951,-0.19219754264651898
1952,-0.19204919612528895
1953,-0.19190693284629826
1954,-0.19137222153697184
1955,-0.19070515192166032
1956,-0.1906993637410682
1957,-0.19070412240617168
1958,-0.18961613001386526
1959,-0.1886876056370714
1960,-0.18794303616429742
1961,-0.18702219626029484
1962,-0.1871577918834997
1963,-0.18639268037375192
1964,-0.18553677001509683
1965,-0.18438943296445737
1966,-0.1841766439373854
1967,-0.1833500648940718
1968,-0.18269540202768808
1969,-0.18186596646437375
1970,-0.18097121846094058
1971,-0.18014701070407524
1972,-0.17917579249616042
1973,-0.17920159516623746
1974,-0.1784602135939661
1975,-0.17901078365039233
1976,-0.17844344141585503
1977,-0.17911721806748523
1978,-0.17987999313914182
1979,-0.17965225563070808
1980,-0.18191778909137432
1981,-0.18177522730644388
1982,-0.18118930243587272
1983,-0.18009852920618663
1984,-0.1805287824741464
1985,-0.1794114298972781
1986,-0.17883428292511616
1987,-0.17948702604128752
1988,-0.1815052232044654
1989,-0.18129007640700334
1990,-0.1806952732661733
1991,-0.18156142939233882
1992,-0.18188713661865155
1993,-0.18108945513562907
1994,-0.1799893996311253
1995,-0.1792709486704851
1996,-0.1788329225094275
1997,-0.17926045181442096
1998,-0.17894189338511746
1999,-0.17949702744768684
2000,-0.17928358061278069
2001,-0.18092249003480873
2002,-0.18197891452778225
2003,-0.18157472534961494
2004,-0.1807935741302529
2005,-0.18302141312282488
2006,-0.18188372347951
2007,-0.1808040218172798
2008,-0.1798973758473821
2009,-0.17907647355295145
2010,-0.1814955452244546
2011,-0.18079648345204025
2012,-0.17977897818538352
2013,-0.17966968196158103
2014,-0.18190359646424778
2015,-0.18139115925714613
2016,-0.18107800497829207
2017,-0.18058668846945233
2018,-0.17955005647324437
2019,-0.1794970937760766
2020,-0.17870006542661315
2021,-0.17870987571472052
2022,-0.1789970856643489
2023,-0.17850994380008214
2024,-0.17753183197364678
2025,-0.17660493294053595
2026,-0.17913168148504924
2027,-0.1819901023648074
2028,-0.18287443153631422
2029,-0.1844726876436948
2030,-0.1834484789470942
2031,-0.18244271089841657
2032,-0.18279556031744768
2033,-0.1841299507914559
2034,-0.18428851110213434
2035,-0.18329157292033632
2036,-0.1826060811994068
2037,-0.18226194638059257
2038,-0.18223961246484857
2039,-0.18163613284690705
2040,-0.1807051189530763
2041,-0.17976277164085028
2042,-0.17888598370538358
2043,-0.17791813009439952
2044,-0.17736744014730008
2045,-0.17710297340488118
2046,-0.17747791512596298
2047,-0.17719851240473136
2048,-0.17732799816167974
2049,-0.17837469005655585
2050,-0.1773729866891828
2051,-0.17648419473857588
2052,-0.17604449517979845
2053,-0.175296633866064
2054,-0.17440570365938046
2055,-0.17577207332393793
2056,-0.17647711933983898
2057,-0.17656370838738636
2058,-0.17622808661713438
2059,-0.17589919925755593
2060,-0.1755409418027612
2061,-0.17757760408962586
2062,-0.17678381558948084
2063,-0.17649975986624009
2064,-0.17607673382394223
2065,-0.17664706654967172
2066,-0.17582936804699073
2067,-0.17530273393687235
2068,-0.17767437157742655
2069,-0.17799715080373246
2070,-0.17746100283615354
2071,-0.17744316240347588
2072,-0.17887907606470302
2073,-0.17900043240567345
2074,-0.17913757173238912
2075,-0.17911653083567514
2076,-0.17823253865276814
2077,-0.17717937416723506
2078,-0.17665240391813264
2079,-0.17710481258528313
2080,-0.17944080690269618
2081,-0.18122911384478405
2082,-0.1803326680897964
2083,-0.1809615157424933
2084,-0.18330074820641057
2085,-0.1847710945478402
2086,-0.18558080784154168
2087,-0.18476097308284053
2088,-0.18388180860425832
2089,-0.1847734916039209
2090,-0.18561717230342303
2091,-0.18497756199348334
2092,-0.18446989987776607
2093,-0.18525123175348995
2094,-0.18585700345795758
2095,-0.18585219960494287
2096,-0.1848580300233396
2097,-0.18428729252225573
2098,-0.18414724313177322
2099,-0.18418705238451086
2100,-0.185247326277307
2101,-0.1852491787341593
2102,-0.18516693807412662
2103,-0.18472588114731356
2104,-0.18449048404430982
2105,-0.18344334679465302
2106,-0.18347672477539115
2107,-0.18327545438627132
2108,-0.18227372485687765
2109,-0.18133276259145245
2110,-0.18056850952744197
2111,-0.1825256302311265
2112,-0.18203952113843264
2113,-0.18142509362723036
2114,-0.183852225459781
2115,-0.18313081657265368
2116,-0.18503277566440457
2117,-0.18696404290654073
2118,-0.18752690260908272
2119,-0.1864374125158483
2120,-0.18683841810820617
2121,-0.186024001299244
2122,-0.186482809143239
2123,-0.18621621640742975
2124,-0.18520854656639488
2125,-0.18728053626814725
2126,-0.1873801131650659
2127,-0.18786464588555787
2128,-0.18931442847354654
2129,-0.18836413061491858
2130,-0.1874158956596445
2131,-0.1867243033854102
2132,-0.18614576947012176
2133,-0.18527141658437496
2134,-0.18432393338103836
2135,-0.18385237879651356
2136,-0.18813021988258471
2137,-0.18712432414764565
2138,-0.18872188436055964
2139,-0.18803994913311928
2140,-0.19112032461335038
2141,-0.19064841571992738
2142,-0.19230621998302433
2143,-0.19219812817577453
2144,-0.19582594367195164
2145,-0.1949602145107138
2146,-0.19759948387927398
2147,-0.19835660000222594
2148,-0.1985617465184426
2149,-0.1975683778449275
2150,-0.19711670043908996
2151,-0.19705653363275522
2152,-0.19629473992993643
2153,-0.19669770089985014
2154,-0.19708301342612913
2155,-0.1968392360598876
2156,-0.19622211784248172
2157,-0.19675310556133999
2158,-0.19855532817685126
2159,-0.20299779118339562
2160,-0.2021646329572694
2161,-0.2011453112556085
2162,-0.20095604711930995
2163,-0.2004763234251747
2164,-0.2003955012973778
2165,-0.1993406354672428
