k,gamma
873,-0.15135518411216597
874,-0.14915449237968287
875,-0.15204824564632086
876,-0.14999440308992548
877,-0.15657783785957913
878,-0.15642523879446177
879,-0.15540526523264014
880,-0.15365400621346662
881,-0.15282396039171942
882,-0.16144312624329735
883,-0.1622557946174032
884,-0.1618153809427368
885,-0.1596054789284401
886,-0.15742766678814687
887,-0.15546666494081512
888,-0.15577169664580173
889,-0.15383857178931892
890,-0.1535968025341892
891,-0.15224287107592463
892,-0.15377465795684273
893,-0.1537095778561536
894,-0.15163860051666428
895,-0.15059205036075082
896,-0.1499487677585026
897,-0.14893793080629977
898,-0.14911455443255975
899,-0.14838116316524574
900,-0.14917639587768688
901,-0.15120132405195
902,-0.14954940677076106
903,-0.14913631833499252
904,-0.1519043749179289
905,-0.1527938651772426
906,-0.1542627365154107
907,-0.15806039341371367
908,-0.1572644529202357
909,-0.1562030323078755
910,-0.15825464625773106
911,-0.16069076093110835
912,-0.15952331984393006
913,-0.15898807372213414
914,-0.15795491867473516
915,-0.1563892545679395
916,-0.15599760292405904
917,-0.1540454499632626
918,-0.15253154078742523
919,-0.1556347338694823
920,-0.15471108498150962
921,-0.15739233806249128
922,-0.1637979037715869
923,-0.16342689556029413
924,-0.16400372505858976
925,-0.16872880471957646
926,-0.16709363608682223
927,-0.167100597359748
928,-0.16581644196256456
929,-0.16755189298664594
930,-0.16555309005157492
931,-0.16342039713541984
932,-0.16217960170718076
933,-0.1601394453229983
934,-0.15893105754915846
935,-0.1583641864708372
936,-0.16641876192940913
937,-0.16659108165734401
938,-0.1666049590576893
939,-0.16557145630315162
940,-0.16480045941677693
941,-0.16369907604227377
942,-0.16195392416511864
943,-0.16043820104157883
944,-0.1585107153093547
945,-0.158574210251241
946,-0.15803169734641634
947,-0.1578489158761209
948,-0.15860662518205915
949,-0.1583458675355457
950,-0.1576758283800297
951,-0.1583892482625184
952,-0.16725217310769483
953,-0.1652985205270945
954,-0.16476848259367705
955,-0.16514801235534562
956,-0.16392328402825634
957,-0.16208648771401135
958,-0.16192982423139493
959,-0.1605228929759241
960,-0.1587264451111811
961,-0.15801997893405492
962,-0.1582539016075278
963,-0.1564147520486318
964,-0.1583690575103934
965,-0.15665404747147352
966,-0.15466373803899502
967,-0.15283256889185778
968,-0.15280288208468384
969,-0.1541295597265536
970,-0.1688541838862205
971,-0.16923739060819554
972,-0.17194927256254675
973,-0.17150576938710768
974,-0.16989990242381428
975,-0.168237912322266
976,-0.16752197438696922
977,-0.16651248090127788
978,-0.16476071091894717
979,-0.1675959326757426
980,-0.16626705267634886
981,-0.16645991547138383
982,-0.1651709403196132
983,-0.16463971397281105
984,-0.16429737124383834
985,-0.16463420186116015
986,-0.16722977603370673
987,-0.16525367028837998
988,-0.16523735885971494
989,-0.16422656498811855
990,-0.1631820251671378
991,-0.1653751806660257
992,-0.16738302215885553
993,-0.166286643444308
994,-0.1644995917608646
995,-0.16434297489642846
996,-0.16322847656479303
997,-0.16494326829302228
998,-0.16386184415044663
999,-0.16188963112895507
1000,-0.16306857013585754
1001,-0.16155958425517214
1002,-0.15957066014583457
1003,-0.15832649604246882
1004,-0.1634385530317312
1005,-0.1632161666498653
1006,-0.16530502893581625
1007,-0.1635471421025221
1008,-0.179763181275525
1009,-0.17838134135167186
1010,-0.1790811106254334
1011,-0.1780502630811166
1012,-0.17791453998349882
1013,-0.1764409248616903
1014,-0.1747522686646373
1015,-0.1728855073146526
1016,-0.17184109105712414
1017,-0.17446134451324322
1018,-0.17354965213653165
1019,-0.1721755923865464
1020,-0.17185069813696593
1021,-0.17028946708996545
1022,-0.16901265978422586
1023,-0.17266433588518368
1024,-0.17131719525836459
1025,-0.171852703650422
1026,-0.17466603233992348
1027,-0.1738491174421229
1028,-0.17299449201467448
1029,-0.1716372297188715
1030,-0.17228170382889182
1031,-0.18477518980970942
1032,-0.1858698558945873
1033,-0.18414369010053466
